ReviewID,ProductID,CustomerID,Rating,ReviewDate,text,token_count,CategoryName,ProductName,CompanyName
12,1,NQ316,3.2,2026-02-10,"客户ID: NQ316
客户公司: 时空盒数字科技有限公司金融科技
客户所在地: 瑞县, 中国
产品信息: 博世 智能电视 Lite (类别: 智能电视)
生产商: 博世智能系统
产品价格: 625.84
评分: 3.2星
评价日期: 2026年02月10日
评价内容: ""总体来说还行，兼容性强，就是价格偏高。""",120,智能电视,博世 智能电视 Lite,时空盒数字科技有限公司金融科技
3,5,GB755,3.6,2026-01-30,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 博世 智能扫地机器人 Lite (类别: 智能扫地机器人)
生产商: 博世智能系统
产品价格: 2793.31
评分: 3.6星
评价日期: 2026年01月30日
评价内容: ""这款智能扫地机器人一般，做工精细，但是电池寿命有点问题。""",136,智能扫地机器人,博世 智能扫地机器人 Lite,惠派国际公司科技有限公司科技公司
24,7,YS535,1.9,2026-01-07,"客户ID: YS535
客户公司: 天开信息有限公司科技公司
客户所在地: 拉萨县, 中国
产品信息: 博世 智能门锁 Lite (类别: 智能门锁)
生产商: 博世智能系统
产品价格: 4724.29
评分: 1.9星
评价日期: 2026年01月07日
评价内容: ""使用一周后出现故障，智能化程度低，售后服务也不好。""",124,智能门锁,博世 智能门锁 Lite,天开信息有限公司科技公司
14,7,NQ316,2.0,2025-12-09,"客户ID: NQ316
客户公司: 时空盒数字科技有限公司金融科技
客户所在地: 瑞县, 中国
产品信息: 博世 智能门锁 Lite (类别: 智能门锁)
生产商: 博世智能系统
产品价格: 4724.29
评分: 2.0星
评价日期: 2025年12月09日
评价内容: ""我发现，这款博世 智能门锁 Lite完全不符合预期。主要问题在于功能单一。已经申请退款了。""",141,智能门锁,博世 智能门锁 Lite,时空盒数字科技有限公司金融科技
11,5,PE225,1.2,2025-12-06,"客户ID: PE225
客户公司: 襄樊地球村传媒有限公司人工智能
客户所在地: 玉英县, 中国
产品信息: 博世 智能扫地机器人 Lite (类别: 智能扫地机器人)
生产商: 博世智能系统
产品价格: 2793.31
评分: 1.2星
评价日期: 2025年12月06日
评价内容: ""对这款智能扫地机器人非常不满意，安装困难，浪费钱。""",133,智能扫地机器人,博世 智能扫地机器人 Lite,襄樊地球村传媒有限公司人工智能
29,1,NT795,1.8,2025-11-12,"客户ID: NT795
客户公司: 襄樊地球村信息有限公司区块链技术
客户所在地: 海口县, 中国
产品信息: 博世 智能电视 Lite (类别: 智能电视)
生产商: 博世智能系统
产品价格: 625.84
评分: 1.8星
评价日期: 2025年11月12日
评价内容: ""体验下来，这款博世 智能电视 Lite很失望。使用不到一周就出现了异常。唯一值得称赞的可能就是价格便宜。""",150,智能电视,博世 智能电视 Lite,襄樊地球村信息有限公司区块链技术
9,8,GB755,2.7,2025-10-25,"客户ID: GB755
客户公司: 惠派国际公司科技有限公司科技公司
客户所在地: 丽县, 中国
产品信息: 小米 智能体重秤 Pro (类别: 智能体重秤)
生产商: 小米智能家居
产品价格: 1133.73
评分: 2.7星
评价日期: 2025年10月25日
评价内容: ""使用一周后出现故障，操作复杂，售后服务也不好。""",127,智能体重秤,小米 智能体重秤 Pro,惠派国际公司科技有限公司科技公司
1,1,MQ931,3.4,2025-10-14,"客户ID: MQ931
客户公司: 彩虹网络有限公司移动应用开发
客户所在地: 磊县, 中国
产品信息: 博世 智能电视 Lite (类别: 智能电视)
生产商: 博世智能系统
产品价格: 625.84
评分: 3.4星
评价日期: 2025年10月14日
评价内容: ""智能电视的质量还可以，安装方便，不过稳定性差。""",123,智能电视,博世 智能电视 Lite,彩虹网络有限公司移动应用开发
2,10,LJ915,2.4,2025-09-23,"客户ID: LJ915
客户公司: 恩悌信息有限公司人工智能
客户所在地: 郑州市, 中国
产品信息: 格力 智能窗帘 Ultra (类别: 智能窗帘)
生产商: 格力智能电器
产品价格: 5082.45
评分: 2.4星
评价日期: 2025年09月23日
评价内容: ""收到货后，这款格力 智能窗帘 Ultra不值这个价格。主要问题在于做工一般。""",131,智能窗帘,格力 智能窗帘 Ultra,恩悌信息有限公司人工智能
17,8,KX899,5.0,2025-08-20,"客户ID: KX899
客户公司: 华成育卓科技有限公司金融科技
客户所在地: 郑州县, 中国
产品信息: 小米 智能体重秤 Pro (类别: 智能体重秤)
生产商: 小米智能家居
产品价格: 1133.73
评分: 5.0星
评价日期: 2025年08月20日
评价内容: ""使用了一个月，兼容性强，没有发现任何问题。""",124,智能体重秤,小米 智能体重秤 Pro,华成育卓科技有限公司金融科技
