ProductID,ProductName,SupplierID,CategoryID,QuantityPerUnit,UnitPrice,UnitsInStock,UnitsOnOrder,ReorderLevel,Discontinued,CategoryName,SupplierName
1,博世 智能电视 Lite,11,11,1个/盒,625.84,736,124,97,0,智能电视,博世智能系统
2,松下 智能摄像头 Lite,13,5,1台/件,342.07,253,140,95,0,智能摄像头,松下智能电器
3,松下 智能空调 Elite,13,10,1套/箱,8471.3,87,192,83,0,智能空调,松下智能电器
4,谷歌 智能门锁 Mini,5,4,2个/包,1182.15,76,15,16,0,智能门锁,谷歌智能设备
5,博世 智能扫地机器人 Lite,11,7,1个/盒,2793.31,604,0,91,0,智能扫地机器人,博世智能系统
6,海尔智慧家庭 智能空调 Basic,8,10,1台/件,2630.29,375,183,54,0,智能空调,海尔智慧家庭
7,博世 智能门锁 Lite,11,4,3个/套,4724.29,879,6,80,0,智能门锁,博世智能系统
8,小米 智能体重秤 Pro,1,12,3个/套,1133.73,524,199,33,0,智能体重秤,小米智能家居
9,美的 智能手环 Standard,9,13,3个/套,3548.17,23,130,99,0,智能手环,美的智能科技
10,格力 智能窗帘 Ultra,10,6,1个/盒,5082.45,624,79,30,0,智能窗帘,格力智能电器
